ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
W1598,ABMI.2018.W1598.A,Toole,07-Aug-2018,2018-06-22,Bos,Jessica,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,gyrina,Physella gyrina,"(Say, 1821)",unknown,LaPierre,Alex,2018-09-17,3,,mv,ABMI.A.40839,2018
W1598,ABMI.2018.W1598.A,Toole,07-Aug-2018,2018-06-22,Bos,Jessica,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,2018-09-17,1,,mv,ABMI.A.40840,2018
W433,ABMI.2018.W433.A,,07-Aug-18,2018-07-7,Dobbs,Jonathan,,,,,mv,Anisoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Anisoptera,Aeshnidae,,Aeshna,sp.,Aeshna,"Fabricius, 1775",nymph,Tebby,Cheryl,2018-09-17,2,,mv,ABMI.A.30984,2018
W1214,ABMI.2018.W1214.A,Uherek,08-Aug-18,2018-06-22,Friedlander,Jesse,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Gyraulus,sp.,Gyraulus,"Agassiz, 1837",unknown,Tebby,Cheryl,2018-09-27,1,,mv,ABMI.A.31076,2018
W712,ABMI.2018.W712.A,Deluca,17-Aug-18,2018-07-6,Dvores,Yosef,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,Tebby,Cheryl,2018-11-13,1,,mv,ABMI.A.31398,2018
W712,ABMI.2018.W712.A,Deluca,17-Aug-18,2018-07-6,Dvores,Yosef,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,Tebby,Cheryl,2018-11-13,1,,mv,ABMI.A.31399,2018
W1648,ABMI.2018.W1648.A,Uherek,17-Aug-2018,2018-07-3,Keenan,Kate,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Stictotarsus,spenceri,Stictotarsus spenceri,"(Leech, 1945)",adult,Tebby,Cheryl,2018-11-13,1,,mv,ABMI.A.31401,2018
W1648,ABMI.2018.W1648.A,Uherek,17-Aug-2018,2018-07-3,Keenan,Kate,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,,UID,Hydroporinae,,larva,Tebby,Cheryl,2018-11-13,1,UID - pore on antennomere 3 not visible,mv,ABMI.A.31402,2018
W1648,ABMI.2018.W1648.A,Uherek,17-Aug-2018,2018-07-3,Keenan,Kate,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Laccophilinae,Laccophilus,sp.,Laccophilus,"Leach, 1815",larva,Tebby,Cheryl,2018-11-13,1,,mv,ABMI.A.31403,2018
W1648,ABMI.2018.W1648.A,Uherek,17-Aug-2018,2018-07-3,Keenan,Kate,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,Tebby,Cheryl,2018-11-13,1,,mv,ABMI.A.31404,2018
W1360,ABMI.2018.W1360.A,Dvores,16-Aug-2018,2018-07-3,Friedlander,Jesse,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Graphoderus,perplexus,Graphoderus perplexus,"Sharp, 1882",larva,Hinchliffe,Robert,2018-11-14,1,,mv,ABMI.A.20710,2018
W1360,ABMI.2018.W1360.A,Dvores,16-Aug-2018,2018-07-3,Friedlander,Jesse,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Graphoderus,sp.,Graphoderus,"Dejean, 1833",larva,Hinchliffe,Robert,2018-11-14,1,,mv,ABMI.A.20711,2018
W1360,ABMI.2018.W1360.A,Dvores,16-Aug-2018,2018-07-3,Friedlander,Jesse,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Colymbetinae,Rhantus,sp.,Rhantus,"Dejean, 1833",larva,Hinchliffe,Robert,2018-11-14,2,,mv,ABMI.A.20712,2018
W1440,ABMI.2018.W1440.A,Enns,19-Nov-2018,2018-06-18,Parsons,Sheena,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Notonectidae,Notonectinae,Notonecta,sp.,Notonecta,"Linnaeus, 1758",juvenile,Tebby,Cheryl,2018-11-14,1,,mv,ABMI.A.31413,2018
W1440,ABMI.2018.W1440.A,Enns,19-Nov-2018,2018-06-18,Parsons,Sheena,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,immaculicollis,Haliplus immaculicollis,"Harris, 1828",adult,Tebby,Cheryl,2018-11-14,2,,mv,ABMI.A.31416,2018
W1440,ABMI.2018.W1440.A,Enns,19-Nov-2018,2018-06-18,Parsons,Sheena,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Laccophilinae,Laccophilus,biguttatus,Laccophilus biguttatus,"Kirby, 1837",larva,Tebby,Cheryl,2018-11-14,13,,mv,ABMI.A.31417,2018
W1440,ABMI.2018.W1440.A,Enns,19-Nov-2018,2018-06-18,Parsons,Sheena,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Laccophilinae,Laccophilus,sp.,Laccophilus,"Leach, 1815",larva,Tebby,Cheryl,2018-11-14,5,,mv,ABMI.A.31418,2018
W1440,ABMI.2018.W1440.A,Enns,19-Nov-2018,2018-06-18,Parsons,Sheena,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Dytiscus,sp.,Dytiscus,"Linnaeus, 1758",larva,Tebby,Cheryl,2018-11-14,1,,mv,ABMI.A.31419,2018
W1440,ABMI.2018.W1440.A,Enns,19-Nov-2018,2018-06-18,Parsons,Sheena,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Colymbetinae,Rhantus,sp.,Rhantus,"Dejean, 1833",larva,Tebby,Cheryl,2018-11-14,1,,mv,ABMI.A.31420,2018
W1624,ABMI.2018.W1624.A,Busef,14-Nov-2018,2018-07-4,Bos,Jessica,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Hinchliffe,Robert,2018-11-14,1,Pronotum not as divergent as expected,mv,ABMI.A.20719,2018
W1624,ABMI.2018.W1624.A,Busef,14-Nov-2018,2018-07-4,Bos,Jessica,,,,,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,Enallagma,sp.,Enallagma,"Charpentier, 1840",nymph,Hinchliffe,Robert,2018-11-14,2,,mv,ABMI.A.20721,2018
