Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Location,Time,Depth (metres),Temperature (Degrees Celsius),pH,Dissolved Oxygen (milligrams/Litre),Conductivity (mSiemens/cm),Salinity (parts per thousand),Total Nitrogen (micrograms/Litre),Total Phosphorous (micrograms/Litre),Dissolved Organic Carbon (milligrams/Litre),Turbidity
Rotation 1,216,2007,18-Jul-07,TNA,Deepest Point,PNA,1.2,24.3,7.07,5.87,0.63,0.4,1910,30,46,PNA
Rotation 1,216,2007,18-Jul-07,TNA,Position 2,PNA,0.9,24.6,7.59,7.68,0.64,0.4,1910,30,46,PNA
Rotation 1,216,2007,18-Jul-07,TNA,Position 3,PNA,0.7,24.8,8.08,7.73,0.64,0.4,1910,30,46,PNA
Rotation 1,217,2007,21-Jul-07,TNA,Deepest Point,PNA,0.5,15.84,6.81,1.28,0.5,0.4,3160,502,53.6,PNA
Rotation 1,217,2007,21-Jul-07,TNA,Position 2,PNA,0.5,15.96,6.7,1.1,0.6,0.4,3160,502,53.6,PNA
Rotation 1,217,2007,21-Jul-07,TNA,Position 3,PNA,0.5,16,6.91,0.8,0.6,0.4,3160,502,53.6,PNA
Rotation 1,218,2007,19-Jul-07,TNA,Deepest Point,PNA,0.8,24.2,8.46,6.66,0.62,0.4,3620,28,85.2,PNA
Rotation 1,218,2007,19-Jul-07,TNA,Position 2,PNA,0.7,24.2,8.44,6.87,0.62,0.4,3620,28,85.2,PNA
Rotation 1,218,2007,19-Jul-07,TNA,Position 3,PNA,0.8,24.3,8.44,6.77,0.62,0.4,3620,28,85.2,PNA
Rotation 1,246,2007,20-Jul-07,TNA,Deepest Point,PNA,1.2,21.2,6.82,6.23,0.21,0.1,2060,88,41.7,PNA
Rotation 1,246,2007,20-Jul-07,TNA,Position 2,PNA,1,21.2,7.12,6.06,0.21,0.1,2060,88,41.7,PNA
Rotation 1,246,2007,20-Jul-07,TNA,Position 3,PNA,1,21.3,7.09,5.87,0.2,0.1,2060,88,41.7,PNA
Rotation 1,247,2007,22-Jul-07,TNA,Deepest Point,PNA,1.4,19.29,6.72,6.05,0.54,0.3,1540,29,33.9,PNA
Rotation 1,247,2007,22-Jul-07,TNA,Position 2,PNA,1.2,19.2,6.87,5.98,0.54,0.3,1540,29,33.9,PNA
Rotation 1,247,2007,22-Jul-07,TNA,Position 3,PNA,1.2,18.89,6.82,5.38,0.54,0.3,1540,29,33.9,PNA
Rotation 1,248,2007,20-Jul-07,TNA,Deepest Point,PNA,1.5,23.2,5.82,7.13,0.4,0,1550,189,39.2,PNA
Rotation 1,248,2007,20-Jul-07,TNA,Position 2,PNA,1.3,23.1,5.84,7.14,0.035,0,1550,189,39.2,PNA
Rotation 1,248,2007,20-Jul-07,TNA,Position 3,PNA,1.1,23.4,5.78,7.03,0.035,0,1550,189,39.2,PNA
Rotation 1,276,2007,23-Jul-07,TNA,Deepest Point,PNA,1.6,19.34,8.2,8.33,0.076,0.1,1680,85,26.6,PNA
Rotation 1,276,2007,23-Jul-07,TNA,Position 2,PNA,1.5,19.58,8.46,8.23,0.076,0.1,1680,85,26.6,PNA
Rotation 1,276,2007,23-Jul-07,TNA,Position 3,PNA,1.4,19.68,8.65,8.34,0.076,0.1,1680,85,26.6,PNA
