Year,Site Name,Coarse Group,Marchant Cell Number,Sample Count
2005,ForTestPurpose,Hirudinea,Cell 46,2
2005,ForTestPurpose,Oligochaeta,Cell 46,1
2005,ForTestPurpose,Hirudinea,Cell 48,3
2005,ForTestPurpose,Oligochaeta,Cell 48,3
2005,ForTestPurpose,Gastropoda,Cell 48,3
2005,ForTestPurpose,Bivalvia,Cell 48,3
2005,ForTestPurpose,Hydrachnidia,Cell 67,3
2005,ForTestPurpose,Oligochaeta,Cell 86,219
2005,ForTestPurpose,Amphipoda,Cell 86,300
2005,ForTestPurpose,Decapoda,Cell 86,400
2007,W1118,Other Diptera,Cell 59,11
2007,W1506,Hirudinea,Cell 59,1
2007,W1506,Hydrachnidia,Cell 59,1
2007,W1506,Trichoptera,Cell 59,1
2007,W1506,Coleoptera (larvae),Cell 59,1
2007,W1526,Coleoptera (adults),Cell 67,1
2007,W1545,Hirudinea,Cell 77,3
2007,W1545,Bivalvia,Cell 77,1
2007,W1603,Oligochaeta,Cell 19,2
2007,W1603,Chironomidae,Cell 19,16
2007,W1603,Hemiptera,Cell 19,7
2007,W1603,Zygoptera,Cell 19,19
2007,W1603,Hydrachnidia,Cell 19,2
2007,W1620,Trichoptera,Cell 2,5
2007,W1620,Hemiptera,Cell 2,7
2007,W1620,Amphipoda,Cell 2,8
2007,W1620,Oligochaeta,Cell 2,1
2007,W1620,Chironomidae,Cell 2,6
2007,W216,Other Diptera,Cell 92,1
2007,W216,Coleoptera (larvae),Cell 92,2
2007,W216,Trichoptera,Cell 92,1
2007,W217,Amphipoda,Cell 55,1
2007,W218,Anisoptera,Cell 87,1
2007,W218,Hydrachnidia,Cell 87,1
2007,W246,Culicidae,Cell 96,1
2007,W247,Hydrachnidia,Cell 2,1
2007,W248,Amphipoda,Cell 64,1
2007,W276,Hydrachnidia,Cell 65,2
2007,W276,Coleoptera (larvae),Cell 65,1
2007,W276,Chironomidae,Cell 65,2
2007,W277,Bivalvia,Cell 21,1
2007,W277,Hemiptera,Cell 21,4
2007,W277,Ceratopogonidae,Cell 21,1
2007,W278,Trichoptera,Cell 96,1
2007,W278,Hydrachnidia,Cell 96,8
2007,W329,Ceratopogonidae,Cell 15,1
2007,W330,Zygoptera,Cell 69,2
2007,W330,Chaoboridae,Cell 69,6
2007,W330,Other:,Cell 69,17
2007,W330,Oligochaeta,Cell 69,23
2007,W330,Hydrachnidia,Cell 69,10
2007,W330,Anisoptera,Cell 69,24
2007,W330,Other Diptera,Cell 69,1
2007,W330,Hemiptera,Cell 69,2
2007,W330,Lepidoptera,Cell 69,2
2007,W330,Trichoptera,Cell 69,6
2007,W330,Coleoptera (adults),Cell 69,1
2007,W330,Coleoptera (larvae),Cell 69,1
2007,W330,Ceratopogonidae,Cell 69,10
2007,W331,Anisoptera,Cell 85,1
2007,W331,Oligochaeta,Cell 85,4
2007,W358,Other Diptera,Cell 87,1
