Site,Year,Sample_Depth_Mean,TOC
W1004,2022,0.8M,45MIN
W1005,2022,0.5M,45MIN
W1006,2022,0.7M,35MIN
W1019,2022,0.6M,120MIN
W1019-D,2022,0.6M,120MIN
W1020,2022,0.7M,90MIN
W1020-D,2022,0.6M,90MIN
W1021,2022,0.5M,150MIN
W1021-D,2022,0.25M,150MIN
W1038,2022,0.8M,60MIN
W1038-D,2022,0.6M,60MIN
W1039,2022,1.1M,70MIN
W1040,2022,0.6M,120MIN
W1053,2022,0.9M,90MIN
W1053-D,2022,0.7M,90MIN
W1054,2022,0.2M,105MIN
W1054-D,2022,0.2M,105MIN
W1055,2022,0.6M,120MIN
W1187,2022,0.4M,DNC
W1188,2022,0.4M,75MIN
W1188-D,2022,0.3M,75MIN
W1189,2022,0.3M,60MIN
W1219,2022,0.4M,80MIN
W1219-D,2022,0.3M,70MIN
W1220,2022,0.6M,90MIN
W1220-D,2022,0.5M,45MIN
W1221,2022,0.4M,60MIN
W1221-D,2022,0.4M,75MIN
W1249,2022,0.3M,45MIN
W1249-D,2022,0.4M,105MIN
W1250,2022,0.3M,90MIN
W1250-D,2022,0.3M,90MIN
W1251,2022,0.5M,90MIN
W938,2022,0.6M,60MIN
W971,2022,1.0M,150MIN
W973,2022,0.8M,50MIN
W986,2022,0.4M,150MIN
W987,2022,0.5M,80MIN
W988,2022,0.4M,90MIN
CABIN-W1004,2022,0.8M,15MIN
CABIN-W1005,2022,0.5M,5MIN
CABIN-W1006,2022,0.7M,30MIN
CABIN-W1019,2022,0.6M,10MIN
CABIN-W1019-D,2022,0.6M,10MIN
CABIN-W1020,2022,0.7M,40MIN
CABIN-W1020-D,2022,0.6M,50MIN
CABIN-W1021,2022,0.5M,25MIN
CABIN-W1021-D,2022,0.25M,30MIN
CABIN-W1038,2022,0.8M,30MIN
CABIN-W1038-D,2022,0.6M,30MIN
CABIN-W1039,2022,1.1M,25MIN
CABIN-W1040,2022,0.6M,25MIN
CABIN-W1053,2022,0.9M,30MIN
CABIN-W1053-D,2022,0.7M,30MIN
CABIN-W1054,2022,0.2M,20MIN
CABIN-W1054-D,2022,0.2M,20MIN
CABIN-W1055,2022,0.6M,2MIN
CABIN-W1187,2022,0.4M,15MIN
CABIN-W1188,2022,0.4M,19MIN
CABIN-W1188-D,2022,0.3M,30MIN
CABIN-W1189,2022,0.3M,20MIN
CABIN-W1219,2022,0.4M,20MIN
CABIN-W1219-D,2022,0.3M,20MIN
CABIN-W1220,2022,0.6M,15MIN
CABIN-W1220-D,2022,0.5M,10MIN
CABIN-W1221,2022,0.4M,23MIN
CABIN-W1221-D,2022,0.4M,30MIN
CABIN-W1249,2022,0.3M,5MIN
CABIN-W1249-D,2022,0.4M,5MIN
CABIN-W1250,2022,0.3M,15MIN
CABIN-W1250-D,2022,0.3M,40MIN
CABIN-W1251,2022,0.5M,25MIN
CABIN-W938,2022,0.6M,20MIN
CABIN-W971,2022,1.0M,25MIN
CABIN-W973,2022,0.8M,30MIN
CABIN-W986,2022,0.4M,50MIN
CABIN-W987,2022,0.5M,35MIN
CABIN-W988,2022,0.4M,30MIN
