ABMISite,Source,Area (m2)
W743,sketch,4755.354663
W711,sketch,1112.883093
W478,GOA hydropoly,95566.49133
W450,GOA hydropoly,58317.93492
W419,GOA hydropoly,13198.76651
W418,GOA hydropoly,59122.47497
W299,GOA hydropoly,25229.49815
W298,GOA hydropoly,100573.2969
W1170,GOA hydropoly,72290.64139
W942,GOA hydropoly,135179.8512
W1037,GOA hydropoly,169943.1418
W1036,GOA hydropoly,32039.46443
W941,GOA hydropoly,18150.78522
W742,GOA hydropoly,38393.19468
W725,GOA hydropoly,20236.25968
W757,GOA hydropoly,98716.26388
W727,GOA hydropoly,11980.77742
W695,GOA hydropoly,15159.18504
W694,GOA hydropoly,101588.4156
W680,GOA hydropoly,14585.9238
W39,GOA hydropoly,59304.76897
W19,GOA hydropoly,23617.89475
W710,GOA hydropoly,170774.3784
W712,GOA hydropoly,317123.1076
W681,GOA hydropoly,105522.3903
W758,GOA hydropoly,19107.59255
W679,GOA hydropoly,15570.30877
W638,GOA hydropoly,95864.56739
W696,GOA hydropoly,12122.09012
W670,GOA hydropoly,18172.12951
W1402,GOA hydropoly,331170.6351
W1069,GOA hydropoly,14867.58722
W1102,GOA hydropoly,7674.756257
W1134,GOA hydropoly,20516.07124
W605,sketch,10462.80664
W938,GOA hydropoly,35334.16535
W973,GOA hydropoly,16423.18955
W1005,GOA hydropoly,21973.42296
W1006,GOA hydropoly,23438.99914
W1040,GOA hydropoly,59832.91973
W1039,GOA hydropoly,80621.87812
W1019,GOA hydropoly,63878.13318
W1053,GOA hydropoly,14832.08208
W1054,GOA hydropoly,116188.0772
W1189,GOA hydropoly,29909.06083
W1219,GOA hydropoly,173909.4185
W1249,GOA hydropoly,49879.22479
W1251,GOA hydropoly,12537.26825
W1021,GOA hydropoly,83475.77949
W971,GOA hydropoly,72964.13918
W1004,GOA hydropoly,128973.0952
W1038,GOA hydropoly,56638.19232
W986,GOA hydropoly,458929.1157
W988,GOA hydropoly,40148.04542
W1221,GOA hydropoly,9398.830648
W1188,HFI,184364.8199
W1220,HFI,197289.6514
W1250,HFI,35401.16383
W1187,HFI,3348.816752
W1020,HFI,17326.14698
W987,HFI,8358.208969
W1055,digitized,15883.33243
W1169B,GOA hydropoly,94320.52358
W1200B,GOA hydropoly,31134.62088
W1258,GOA hydropoly,61277.65772
W1287,GOA hydropoly,19917.97969
W1348,GOA hydropoly,138789.8227
W139,GOA hydropoly,27995.82179
W140,GOA hydropoly,9702.668573
W1548,GOA hydropoly,33771.41608
W1549,GOA hydropoly,6530.644945
W168,GOA hydropoly,30760.50494
W169,GOA hydropoly,16195.56927
W197,GOA hydropoly,41094.79149
W198,GOA hydropoly,14610.41059
W579B,GOA hydropoly,34634.55907
W1168,GOA hydropoly,44586.92722
W1510B,HFI,12352.73692
W1583,digitized,7365.523721
