Site Number,Sorted By,Date Sorted,Coarse Sorting Group,Coarse Sorting Count,Number of Cells Counted in Marchant Box,Lab Comments,Identified By,Identification Date ,Family          (Sub-family for Chironomidae),Genus & Species,Life Stage,Advanced ID Count,Reference Used,Advanced ID Comments,Number of Specimens,Verified by,Verification Date,Family,Genus & Species,Reference Used,Verification Comments,Voucher Selected By,Date Selected,Number of Voucher Specimens ,Vial,Number of Non-voucher Specimens,TMS number,Date Entered in TMS,Comments
W19,TAS,23-Aug-2018,Oligochaeta,14,13,,ALA,25-Jun-2020,Naididae,Chaetogaster sp.,unknown,2,Thorp 2016,,1,ALA,12-Nov-20,Naididae,Chaetogaster diaphanus,Brinkhurst 1986,,ALA,25-Jun-2020,0,slide,1,VNA,,
W19,TAS,23-Aug-2018,Oligochaeta,split,13,,ALA,29-Oct-2020,Naididae,Stylaria lacustris,unknown,11,Thorp 2016,,12,ALA,12-Nov-20,Naididae,Stylaria lacustris,Brinkhurst 1986,,ALA,29-Oct-2020,0,slide,12,VNA,,
W19,TAS,23-Aug-2018,Oligochaeta,split,13,,ALA,29-Oct-2020,Naididae,UID,unknown,1,Thorp 2016,,,,,,,,,ALA,29-Oct-2020,0,slide,1,VNA,,
W19,TAS,23-Aug-2018,Hirudinea,7,13,,ALA,11-Jun-2020,Erpobdellidae,UID,unknown,6,Thorp 2016,,,,,,,,,ALA,11-Jun-2020,0,mv,6,VNA,,
W19,TAS,23-Aug-2018,Hirudinea,split,13,,ALA,11-Jun-2020,Glossiphoniidae,Theromyzon sp.,unknown,1,Thorp 2016,,,,,,,,,ALA,11-Jun-2020,1,mv,0,ABMI.A.42705,,
W19,TAS,23-Aug-2018,Gastropoda,49,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Bivalvia,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Hydrachnidia,3,13,,ALA,11-Jun-2020,Limnesiidae,Limnesia sp.,adult,2,Proctor 2006,,,,,,,,,ALA,11-Jun-2020,2,mv,0,ABMI.A.42706,,
W19,TAS,23-Aug-2018,Hydrachnidia,split,13,,ALA,22-Oct-2020,Hydrodromidae,Hydrodroma sp.,adult,1,Proctor 2006,,,,,,,,,ALA,22-Oct-2020,1,mv,0,ABMI.A.42945,,
W19,TAS,23-Aug-2018,Amphipoda,120,13,,ALA,11-Jun-2020,Hyalellidae,Hyalella sp.,unknown,120,Thorp 2016,,,,,,,,,ALA,11-Jun-2020,120,mv,0,ABMI.A.42708,,
