Site Number,Identification Date ,Coarse Sorting Group,Family          (Sub-family for Chironomidae),Genus & Species,Number of Specimens,Confirmed.Family,Confirmed.Genus & Species
CABIN-W19,,Porifera,,,,,
CABIN-W19,,Hydrozoa,,,,,
CABIN-W19,,Platyhelminthes,,,,,
CABIN-W19,,Nematoda,,,,,
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,9,Naididae,Chaetogaster diaphanus
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,12,Naididae,Stylaria lacustris
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,UID,0,,
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Slavina appendiculata
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,UID
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,5,Naididae,Stylaria lacustris
CABIN-W19,12-Jun-20,Oligochaeta,Naididae,UID,3,Naididae,UID
CABIN-W19,,Oligochaeta,,split,1,Naididae,Nais simplex
CABIN-W19,24-Jun-19,Hirudinea,Erpobdellidae,UID,,,
CABIN-W19,11-Jun-19,Gastropoda,Planorbidae,Gyraulus crista,,,
CABIN-W19,11-Jun-19,Gastropoda,Planorbidae,Gyraulus sp.,,,
CABIN-W19,11-Jun-19,Gastropoda,Planorbidae,UID,,,
CABIN-W19,,Bivalvia,,,,,
CABIN-W19,21-Oct-20,Hydrachnidia,Arrenuridae,Arrenurus sp.,,,
CABIN-W19,21-Oct-20,Hydrachnidia,Limnesiidae,Limnesia sp.,,,
CABIN-W19,21-Oct-20,Hydrachnidia,Hydrodromidae,Hydrodroma sp.,,,
CABIN-W19,21-Oct-20,Hydrachnidia,Unionicolidae,Unionicola sp.,,,
CABIN-W19,21-Oct-20,Acari,Hydrozetidae,Hydrozetes sp.,,,
CABIN-W19,,Cladocera,,,,,
CABIN-W19,,Ostracoda,,,,,
CABIN-W19,,Copepoda,,,,,
CABIN-W19,11-Jun-19,Amphipoda,Hyalellidae,Hyalella sp.,,,
CABIN-W19,,Isopoda,,,,,
CABIN-W19,,Decapoda,,,,,
CABIN-W19,11-Jun-19,Ephemeroptera,Baetidae,UID,,,
CABIN-W19,11-Jun-19,Ephemeroptera,Caenidae,Caenis youngi,,,
CABIN-W19,11-Jun-19,Ephemeroptera,Caenidae,Caenis sp.,19,Caenidae,Caenis sp.
CABIN-W19,11-Jun-19,Ephemeroptera,Caenidae,Caenis sp.,,,
CABIN-W19,12-Jun-19,Anisoptera,UID,UID,,,
CABIN-W19,12-Jun-19,Zygoptera,UID,UID,,,
CABIN-W19,,Plecoptera,,,,,
CABIN-W19,12-Jun-19,Hemiptera,Notonectidae,Notonecta sp.,,,
CABIN-W19,,Megaloptera,,,,,
CABIN-W19,,Lepidoptera,,,,,
CABIN-W19,12-Jun-19,Trichoptera,Limnephilidae,UID,,,
CABIN-W19,12-Jun-19,Trichoptera,Phryganeidae,UID,,,
CABIN-W19,12-Jun-19,Trichoptera,Polycentropodidae,Polycentropus sp.,,,
CABIN-W19,,Coleoptera (adults),,,,,
CABIN-W19,,Coleoptera (larvae),,,,,
CABIN-W19,2-Mar-20,Chironomidae,SNI,SNI,,,
CABIN-W19,18-Mar-20,Chironomidae,SNI,SNI,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Dicrotendipes sp. D RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Endochironomus nigricans,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Endochironomus sp.,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Glyptotendipes sp.,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Paratanytarsus sp. B RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Paratanytarsus sp.,,,
