Row,Target_Group,Coarse_Group,Phylum,Class,Order,Family,Subfamily,Genus,Species,Final_ID_portal,Final_ID,Scientific_Name,Rank,Scientific_Name_Analysis,Analysis_Name,Analysis_Mode,Analysis_Grouping,Analysis_Rank,Distribution_Method,Feeding_Group,Feeding_mode,Conductivity_Sensitivity,DO2_Sensitivity,DOC_Sensitivity,pH_High_Sensitivity,pH_Low_Sensitivity,TN_Sensitivity,TP_Sensitivity,Notes
1,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Gammaridae,VNA,Gammarus,cf. lacustris,Gammarus cf. lacustris,Gammarus cf. lacustris,Gammarus cf. lacustris,Species,Gammarus cf. lacustris,Gammarus.cf.lacustris,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
2,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Gammaridae,VNA,Gammarus,sp.,Gammarus,Gammarus sp.,Gammarus sp.,Genus,Gammarus sp.,Gammarus.sp.,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
3,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Gammaridae,VNA,UID,UID,Gammaridae UID,Gammaridae UID,Gammaridae UID,Family,Gammaridae UID,Gammaridae.UID,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
4,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,VNA,Hyalella,cf. azteca,Hyalella cf. azteca,Hyalella cf. azteca,Hyalella cf. azteca,Species,Hyalella cf. azteca,Hyalella.cf.azteca,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
5,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,VNA,Hyalella,cf. texana,Hyalella cf. texana,Hyalella cf. texana,Hyalella cf. texana,Species,Hyalella cf. texana,Hyalella.cf.texana,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
6,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,VNA,Hyalella,sp.,Hyalella,Hyalella sp.,Hyalella sp.,Genus,Hyalella sp.,Hyalella.sp.,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
7,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,VNA,Hyalella,sp.,HYalella,Hyalella sp.,Hyalella sp.,Genus,Hyalella sp.,Hyalella.sp.,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
8,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,VNA,Hyalella,sp. A ARL,Hyalella sp. A ARL,Hyalella sp. A ARL,Hyalella sp. A ARL,Species,Hyalella sp. A ARL,Hyalella.sp.A.ARL,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
9,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,VNA,Hyalella,sp. B ARL,Hyalella sp. B ARL,Hyalella sp. B ARL,Hyalella sp. B ARL,Species,Hyalella sp. B ARL,Hyalella.sp.B.ARL,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
10,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,VNA,UID,UID,Hyalellidae UID,Hyalellidae UID,Hyalellidae UID,Family,Hyalellidae UID,Hyalellidae.UID,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
