Year,Site Name,COUNT(*)
2018,W1339,14
2018,W1565,7
2018,W605,138
2018,W1361,14
2018,W695,195
2018,W1408,53
2018,W1624,21
2018,W1642,26
2018,W267,11
2018,W1474,16
2018,W418,7
2018,W478,15
2018,W348,120
2018,W1295,93
2018,W480,60
2018,W535,40
2018,W671,19
2018,W800,131
2018,W833,123
2018,W887,51
2018,W1215,6
2018,W888,14
2018,W639,38
2018,W922,55
2018,W939,151
2018,W351,14
2018,W450,101
2018,W1648,16
2023,CABIN-W168,142
2023,W197,125
2023,W1348-D,51
2023,W1036-D,62
2023,W1168,27
2023,W139,112
2023,CABIN-W140,84
2022,W1054,14
2022,W1188,32
2022,W1189,30
2022,W1221,32
2022,CABIN-W1189,53
2022,CABIN-W1221,35
2022,CABIN-W938,29
2022,W1019-D,21
2022,W1040,89
2018,W1562,22
2018,W1384,12
2018,W1609,16
2018,W696,17
2018,W1431,6
2018,W1656,3
2018,W1442,74
2018,W1444,3
2018,W742,41
2018,W756,194
2018,W1446,1
2018,W1453,43
2018,W757,78
2018,W758,109
2018,W268,20
2018,W1463,9
2018,W297,17
2018,W1498,120
2018,W1281,24
2018,W379,121
2018,W1267,180
2018,W801,80
2018,W768,77
2018,W380,24
2023,CABIN-W1510B,88
2023,W942,111
2023,CABIN-W1583,16
2023,W1348,121
2023,CABIN-W169,18
2023,W1287,22
2023,W1200B,23
2023,CABIN-W1170,110
2023,CABIN-W1170-D,111
2023,W1548,20
2023,W1549,69
2023,CABIN-W1348-D,23
2022,W1187,109
2022,CABIN-W1188-D,38
2022,CABIN-W1220,107
2022,W1251,21
2022,CABIN-W1005,20
2022,CABIN-W986,16
2022,W1019,13
2022,W1020,28
2022,W1038,27
2022,W1053,23
2018,W590,35
2018,W1579,32
2018,W1608,15
2018,W1409B,102
2018,W1432,14
2018,W1433,50
2018,W1650,29
2018,W726,128
2018,W1445,4
2018,W213,33
2018,W743,120
2018,W237,235
2018,W769,35
2018,W1497,44
2018,W38,76
2018,W1536,32
2018,W536,190
2018,W566,24
2018,W321,100
2018,W816,107
2018,W403,62
2018,W435,58
2018,W464,27
2018,W505,11
2018,W503,60
2018,W680,43
2018,W1268,30
2018,W346,127
2018,W1213,24
2018,W463,67
2018,W420,124
2018,W318,174
2018,W954,17
2018,W433,131
2018,W376,111
2018,W349,95
2018,W350,11
2018,W1245,19
2023,CABIN-W1548-D,20
2023,W941-D,91
2023,CABIN-W1402-D,186
2023,CABIN-W198,59
2023,W1402-D,17
2023,CABIN-W1402,32
2023,W1134-D,253
2023,W1170,176
2023,CABIN-W1069,19
2023,CABIN-W1200B,19
2023,CABIN-W1258,11
2023,CABIN-W1287,20
2023,W1583,27
2023,W169,52
2023,W198,60
2022,CABIN-W1054,45
2022,CABIN-W1221-D,66
2022,CABIN-W1251,37
2022,CABIN-W1038,192
2022,CABIN-W1020-D,136
2022,CABIN-W1021-D,49
2022,CABIN-W988,28
2018,W1537,25
2018,W1547,116
2018,W567,181
2018,W1320,25
2018,W622,40
2018,W7,33
2018,W1626,8
2018,W1641,66
2018,W711,20
2018,W712,37
2018,W1643,20
2018,W20,20
2018,W1167,11
2018,W419,161
2018,W565,55
2018,W465,146
2018,W1266,58
2018,W606,124
2018,W830,7
2018,W955,100
2018,W1294,27
2018,W347,24
2018,W1325,39
2023,CABIN-W1549,102
2023,CABIN-W1169B,28
2023,CABIN-W197,11
2023,W1036,67
2023,W1069,19
2023,W1200B-D,23
2023,CABIN-W1102,149
2022,W1219-D,106
2022,W1221-D,28
2022,W1249-D,87
2022,CABIN-W1006,113
2022,CABIN-W971,49
2022,CABIN-W1040,30
2022,W1021-D,23
2022,W1038-D,18
2018,W1346,1
2018,W1580,10
2018,W1385,14
2018,W1597,26
2018,W681,59
2018,W694,71
2018,W1410,9
2018,W1625,25
2018,W725,65
2018,W1454,12
2018,W1462,29
2018,W1062,3
2018,W1166,53
2018,W1198,4
2018,W1199,48
2018,W1469,31
2018,W39,17
2018,W1183,152
2018,W504,33
2018,W8,15
2018,W831,30
2018,W1596B,48
2018,W607,203
2018,W953,49
2018,W1214,71
2023,CABIN-W579B,23
2023,CABIN-W941,25
2023,CABIN-W941-D,11
2023,W1102,43
2023,CABIN-W1036-D,133
2023,CABIN-W1134,225
2022,W1188-D,28
2022,CABIN-W1055,18
2022,CABIN-W1187,30
2022,CABIN-W1188,39
2022,W1249,66
2022,CABIN-W1219-D,17
2022,W1250-D,28
2022,W986,22
2022,W987,54
2022,CABIN-W1019,28
2022,CABIN-W1020,84
2022,CABIN-W1021,16
2022,CABIN-W973,56
2022,CABIN-W987,90
2022,W1004,102
2022,W1005,24
2022,W1021,38
2022,W1039,8
2022,W1053-D,60
2018,W1309,37
2018,W592,116
2018,W710,16
2018,W239,142
2018,W1464,14
2018,W298,105
2018,W299,38
2018,W434,126
2018,W479,45
2018,W320,228
2018,W905,151
2018,W378,35
2018,W637,101
2018,W1649,36
2018,W1182,117
2018,W861,18
2018,W921,111
2018,W1181,10
2018,W1324,13
2018,W1243,25
2023,CABIN-W1548,13
2023,W1037,142
2023,W1134,233
2023,W1170-D,234
2023,CABIN-W1200B-D,43
2023,W140,18
2022,CABIN-W1004,100
2022,CABIN-W1249,41
2022,CABIN-W1249-D,24
2022,W973,20
2018,W1283,33
2018,W623,158
2018,W624,68
2018,W638,233
2018,W679,11
2018,W1607,96
2018,W1422,12
2018,W727,20
2018,W238,81
2018,W1028,9
2018,W1228,2
2018,W1229,31
2018,W1499,39
2018,W448,25
2018,W1282,44
2018,W1535,63
2018,W940,152
2018,W405,102
2018,W381,32
2018,W322,25
2018,W377,8
2018,W782,143
2018,W319,72
2018,W829,31
2018,W317,51
2018,W767,34
2018,W449,80
2018,W669,69
2018,W1323,27
2023,W941,145
2023,CABIN-W1168,235
2023,CABIN-W942,24
2023,W1510B-D,104
2023,CABIN-W1134-D,206
2023,W1402,22
2023,CABIN-W1258-D,11
2023,W1510B,127
2023,CABIN-W1348,122
2023,W1548-D,15
2023,CABIN-W139,24
2023,W579B,17
2022,W1055,18
2022,CABIN-W1054-D,45
2022,CABIN-W1219,15
2022,CABIN-W1250,19
2022,W988,72
2022,CABIN-W1038-D,27
2022,W1020-D,19
2018,W1310,29
2018,W1311,20
2018,W1338,28
2018,W1566,68
2018,W1340,20
2018,W1360,16
2018,W1441,15
2018,W741,22
2018,W19,90
2018,W1449,62
2018,W1455,95
2018,W269,67
2018,W1200,22
2018,W1230,5
2018,W1516,29
2018,W1517,23
2018,W799,183
2018,W1440,58
2018,W1244,6
2018,W404,14
2018,W534,59
2018,W670,15
2018,W1296,159
2018,W832,43
2018,W848,43
2018,W862,24
2018,W889,159
2018,W920,100
2018,W1598,37
2023,CABIN-W1510B-D,100
2023,W942-D,56
2023,W1258,191
2023,CABIN-W942-D,19
2023,W1169B,39
2023,W1258-D,20
2023,CABIN-W1036,123
2023,CABIN-W1037,197
2023,W1287-D,23
2023,CABIN-W1287-D,30
2023,W168,116
2022,W1054-D,21
2022,W1219,51
2022,W1220,168
2022,W1220-D,107
2022,W1250,23
2022,CABIN-W1220-D,106
2022,W938,30
2022,W971,22
2022,CABIN-W1019-D,64
2022,CABIN-W1250-D,26
2022,CABIN-W1039,107
2022,CABIN-W1053,33
2022,CABIN-W1053-D,38
2022,W1006,26
2018,W478-2,100
2018,W638-2,26
