Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Identification Date,Identification Analyst,Coarse Group,Coarse Group Count,Proportion of Marchant Box Cells Counted
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Amphipoda,7,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Anisoptera,3,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Ceratopogonidae,1,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Chaoboridae,8,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Chironomidae,107,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Cladocera,205,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Coleoptera (adults),0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Coleoptera (larvae),1,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Copeopoda,115,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Culicidae,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Decapoda,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Ephemeroptera,3,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Gastropoda,6,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Hemiptera,6,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Hirudinea,1,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Hydrachnida,5,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Hydrozoa,1,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Isopoda,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Lepidoptera,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Megaloptera,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Misc. Diptera,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Nematoda,2,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Oligochaeta,29,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Ostracoda,9,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Pelecypoda,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Platyhelminthes,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Plecoptera,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Porifera,7,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Simulidae,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Tabanidae,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Tipulidae,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Trichoptera,0,33
Rotation 1,216,2007,18-Jul-07,TNA,14-Aug-07,AST,Zygoptera,12,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Amphipoda,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Anisoptera,1,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Ceratopogonidae,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Chaoboridae,7,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Chironomidae,102,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Cladocera,21,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Coleoptera (adults),0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Coleoptera (larvae),0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Copeopoda,9,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Culicidae,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Decapoda,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Ephemeroptera,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Gastropoda,43,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Hemiptera,9,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Hirudinea,1,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Hydrachnida,3,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Hydrozoa,0,33
