ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
CABIN-W1020-D,ABMI.2022.CABIN-W1020-D.A,Hinchliffe,13-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Trichocorixa,sexcincta,Trichocorixa sexcincta,"(Champion, 1901)",adult,LaPierre,Alex,3/24/2023,4,3 males 1 female,mv,ABMI.A.44435,2022
CABIN-W1020,ABMI.2022.CABIN-W1020.A,Hinchliffe,11-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Trichocorixa,sexcincta,Trichocorixa sexcincta,"(Champion, 1901)",adult,LaPierre,Alex,2/23/2023,1,female,mv,ABMI.A.44365,2022
CABIN-W1053-D,ABMI.2022.CABIN-W1053-D.A,Beamish,26-Oct-22,7/10/2022,Shaw,Linus,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Hydroptilidae,Hydroptilinae,Agraylea,sp.,Agraylea,"Curtis, 1834",larva,LaPierre,Alex,4/14/2023,2,early instar,mv,ABMI.A.44475,2022
CABIN-W1188-D,ABMI.2022.CABIN-W1188-D.A,Tebby,15-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Hydroptilidae,Hydroptilinae,Agraylea,sp.,Agraylea,"Curtis, 1834",larva,LaPierre,Alex,5/5/2023,10,immature,mv,ABMI.A.44647,2022
CABIN-W938,ABMI.2022.CABIN-W938.A,Beamish,24-Oct-22,7/23/2022,Lachance,Rose,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Hydroptilidae,Hydroptilinae,Agraylea,sp.,Agraylea,"Curtis, 1834",larva,LaPierre,Alex,1/19/2023,2,"early instar ID'd by recognition, previously confirmed with DNA barcoding",mv,ABMI.A.44175,2022
CABIN-W1251,ABMI.2022.CABIN-W1251.A,Tebby,22-Nov-22,7/12/2022,Bishop,Bee,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Hydroptilidae,Hydroptilinae,Agraylea,sp.,Agraylea,"Curtis, 1834",larva,LaPierre,Alex,6/15/2023,1,early instar,mv,ABMI.A.44968,2022
CABIN-W1188,ABMI.2022.CABIN-W1188.A,LaPierre,10-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Hydroptilidae,Hydroptilinae,Agraylea,sp.,Agraylea,"Curtis, 1834",larva,LaPierre,Alex,4/28/2023,23,,mv,ABMI.A.44585,2022
CABIN-W973,ABMI.2022.CABIN-W973.A,LaPierre,22-Sep-22,7/24/2022,Shaw,Linus,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Hydroptilidae,Hydroptilinae,Agraylea,sp.,Agraylea,"Curtis, 1834",larva,LaPierre,Alex,12/16/2022,1,,mv,ABMI.A.44073,2022
CABIN-W1053,ABMI.2022.CABIN-W1053.A,Lachance,25-Oct-22,7/10/2022,Shaw,Linus,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Hydroptilidae,Hydroptilinae,Agraylea,sp.,Agraylea,"Curtis, 1834",larva,LaPierre,Alex,3/31/2023,1,early instar,mv,ABMI.A.44462,2022
CABIN-W1004,ABMI.2022.CABIN-W1004.A,Beamish,29-Sep-22,7/25/2022,Beamish,Kathleen,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Leptoceridae,Leptocerinae,Ceraclea,sp.,Ceraclea,"Stephens, 1829",larva,LaPierre,Alex,12/15/2022,1,,mv,ABMI.A.44041,2022
W1251,ABMI.2022.W1251.A,Tebby,16-Nov-22,7/12/2022,Bishop,Bee,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Leptoceridae,Leptocerinae,Ceraclea,sp.,Ceraclea,"Stephens, 1829",larva,LaPierre,Alex,6/16/2023,2,,mv,ABMI.A.34261,2022
CABIN-W973,ABMI.2022.CABIN-W973.A,LaPierre,22-Sep-22,7/24/2022,Shaw,Linus,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Leptoceridae,Leptocerinae,Ceraclea,sp.,Ceraclea,"Stephens, 1829",larva,LaPierre,Alex,12/16/2022,1,,mv,ABMI.A.44075,2022
W1053-D,ABMI.2022.W1053-D.A,Hinchliffe,21-Oct-22,7/10/2022,Beamish,Kathleen,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Leptoceridae,Leptocerinae,Ceraclea,sp.,Ceraclea,"Stephens, 1829",larva,Tebby,Cheryl,3/31/2023,1,,mv,ABMI.A.33887,2022
W1054,ABMI.2022.W1054.A,Hinchliffe,19-Oct-22,6/29/2022,Bishop,Bee,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,3/31/2023,2,,mv,ABMI.A.33894,2022
CABIN-W1054,ABMI.2022.CABIN-W1054.A,Hinchliffe,18-Oct-22,6/29/2022,Bishop,Bee,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,LaPierre,Alex,4/14/2023,1,male,mv,ABMI.A.44485,2022
W1020,ABMI.2022.W1020.A,LaPierre,7-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,2/15/2023,1,,mv,ABMI.A.33706,2022
CABIN-W1187,ABMI.2022.CABIN-W1187.A,Lachance,27-Oct-22,7/13/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,LaPierre,Alex,4/28/2023,1,uncertain,mv,ABMI.A.44577,2022
W1020-D,ABMI.2022.W1020-D.A,Beamish,28-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,2/17/2023,5,,mv,ABMI.A.33718,2022
CABIN-W1189,ABMI.2022.CABIN-W1189.A,Hinchliffe,24-Oct-22,7/14/2022,Beamish,Kathleen,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,LaPierre,Alex,5/5/2023,2,females,mv,ABMI.A.44663,2022
W1219-D,ABMI.2022.W1219-D.A,Lachance,1-Nov-22,7/13/2022,Beamish,Kathleen,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,5/12/2023,2,,mv,ABMI.A.34120,2022
W1250,ABMI.2022.W1250.A,LaPierre,1-Dec-22,7/8/2022,Bishop,Bee,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,6/15/2023,1,,mv,ABMI.A.34224,2022
W1250,ABMI.2022.W1250.A,LaPierre,1-Dec-22,7/8/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,6/15/2023,1,,mv,ABMI.A.34234,2022
W1250-D,ABMI.2022.W1250-D.A,Tebby,30-Nov-22,7/8/2022,Bishop,Bee,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,6/15/2023,2,,mv,ABMI.A.34240,2022
W1250-D,ABMI.2022.W1250-D.A,Tebby,30-Nov-22,7/8/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,6/15/2023,1,,mv,ABMI.A.34252,2022
CABIN-W1020-D,ABMI.2022.CABIN-W1020-D.A,Hinchliffe,13-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,LaPierre,Alex,3/24/2023,3,"larger female ID uncertain, compare with female apicalis and male stagninus; micropunctation; length and ventral colour matches male stagninus; I think I see 6th elytral interval differences Vondel describes",mv,ABMI.A.44438,2022
CABIN-W1021,ABMI.2022.CABIN-W1021.A,LaPierre,14-Oct-22,6/28/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,LaPierre,Alex,3/15/2023,2,,mv,ABMI.A.44397,2022
